	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 105    	 yi = 13.1069    	 xi = 1.44531    	 h = 0.0078125    	 yi(1/2) = 13.1069    	 yi - yi(1/2) = -6.19837e-09    	 LEE = 7.08385e-09    	 c1 = 6    	 c2 = 0
	 i = 106    	 yi = 13.3065    	 xi = 1.45312    	 h = 0.0078125    	 yi(1/2) = 13.3065    	 yi - yi(1/2) = -6.27802e-09    	 LEE = 7.17488e-09    	 c1 = 6    	 c2 = 0
	 i = 107    	 yi = 13.509    	 xi = 1.46094    	 h = 0.0078125    	 yi(1/2) = 13.509    	 yi - yi(1/2) = -6.35861e-09    	 LEE = 7.26698e-09    	 c1 = 6    	 c2 = 0
	 i = 108    	 yi = 13.7144    	 xi = 1.46875    	 h = 0.0078125    	 yi(1/2) = 13.7144    	 yi - yi(1/2) = -6.44015e-09    	 LEE = 7.36017e-09    	 c1 = 6    	 c2 = 0
	 i = 109    	 yi = 13.9227    	 xi = 1.47656    	 h = 0.0078125    	 yi(1/2) = 13.9227    	 yi - yi(1/2) = -6.52265e-09    	 LEE = 7.45446e-09    	 c1 = 6    	 c2 = 0
	 i = 110    	 yi = 14.1339    	 xi = 1.48438    	 h = 0.0078125    	 yi(1/2) = 14.1339    	 yi - yi(1/2) = -6.60613e-09    	 LEE = 7.54986e-09    	 c1 = 6    	 c2 = 0
	 i = 111    	 yi = 14.3482    	 xi = 1.49219    	 h = 0.0078125    	 yi(1/2) = 14.3482    	 yi - yi(1/2) = -6.69058e-09    	 LEE = 7.64637e-09    	 c1 = 6    	 c2 = 0
	 i = 112    	 yi = 14.5655    	 xi = 1.5    	 h = 0.0078125    	 yi(1/2) = 14.5655    	 yi - yi(1/2) = -6.77602e-09    	 LEE = 7.74402e-09    	 c1 = 6    	 c2 = 0
	 i = 113    	 yi = 14.7859    	 xi = 1.50781    	 h = 0.0078125    	 yi(1/2) = 14.7859    	 yi - yi(1/2) = -6.86247e-09    	 LEE = 7.84282e-09    	 c1 = 6    	 c2 = 0
	 i = 114    	 yi = 15.0094    	 xi = 1.51562    	 h = 0.0078125    	 yi(1/2) = 15.0094    	 yi - yi(1/2) = -6.94993e-09    	 LEE = 7.94278e-09    	 c1 = 6    	 c2 = 0
	 i = 115    	 yi = 15.236    	 xi = 1.52344    	 h = 0.0078125    	 yi(1/2) = 15.236    	 yi - yi(1/2) = -7.03842e-09    	 LEE = 8.04391e-09    	 c1 = 6    	 c2 = 0
	 i = 116    	 yi = 15.4659    	 xi = 1.53125    	 h = 0.0078125    	 yi(1/2) = 15.4659    	 yi - yi(1/2) = -7.12795e-09    	 LEE = 8.14622e-09    	 c1 = 6    	 c2 = 0
